1*16,8959
1,023292992*17,0138
1,047128548*17,1294
1,071519305*17,2428
1,096478196*17,3539
1,122018454*17,4628
1,148153621*17,5693
1,174897555*17,6736
1,202264435*17,7756
1,230268771*17,8752
1,258925412*17,9726
1,288249552*18,0676
1,318256739*18,1604
1,348962883*18,2509
1,380384265*18,339
1,412537545*18,425
1,445439771*18,5087
1,479108388*18,5901
1,513561248*18,6694
1,548816619*18,7464
1,584893192*18,8213
1,621810097*18,894
1,659586907*18,9646
1,698243652*19,0332
1,737800829*19,0996
1,77827941*19,1641
1,819700859*19,2265
1,862087137*19,287
1,905460718*19,3456
1,9498446*19,4022
1,995262315*19,457
2,041737945*19,51
2,089296131*19,5613
2,13796209*19,6108
2,187761624*19,6586
2,238721139*19,7047
2,290867653*19,7493
2,344228815*19,7922
2,398832919*19,8336
2,454708916*19,8736
2,511886432*19,912
2,570395783*19,9491
2,630267992*19,9848
2,691534804*20,0192
2,754228703*20,0523
2,818382931*20,0841
2,884031503*20,1147
2,951209227*20,1441
3,01995172*20,1724
3,090295433*20,1996
3,16227766*20,2258
3,235936569*20,2509
3,311311215*20,275
3,388441561*20,2982
3,467368505*20,3204
3,548133892*20,3417
3,630780548*20,3622
3,715352291*20,3818
3,801893963*20,4007
3,89045145*20,4187
3,981071706*20,4361
4,073802778*20,4527
4,168693835*20,4686
4,265795188*20,4839
4,365158322*20,4985
4,466835922*20,5125
4,570881896*20,5259
4,677351413*20,5388
4,786300923*20,5511
4,897788194*20,5629
5,011872336*20,5742
5,12861384*20,585
5,248074602*20,5954
5,370317964*20,6053
5,495408739*20,6147
5,623413252*20,6238
5,754399373*20,6325
5,888436554*20,6408
6,025595861*20,6488
6,165950019*20,6564
6,309573445*20,6637
6,45654229*20,6706
6,60693448*20,6773
6,760829754*20,6836
6,918309709*20,6897
7,079457844*20,6956
7,244359601*20,7011
7,413102413*20,7065
7,58577575*20,7115
7,762471166*20,7164
7,943282347*20,7211
8,128305162*20,7255
8,317637711*20,7298
8,511380382*20,7338
8,7096359*20,7377
8,912509381*20,7414
9,120108394*20,745
9,332543008*20,7484
9,54992586*20,7516
9,77237221*20,7547
10*20,7577
10,23292992*20,7605
10,47128548*20,7632
10,71519305*20,7658
10,96478196*20,7683
11,22018454*20,7706
11,48153621*20,7729
11,74897555*20,775
12,02264435*20,7771
12,30268771*20,7791
12,58925412*20,7809
12,88249552*20,7827
13,18256739*20,7845
13,48962883*20,7861
13,80384265*20,7877
14,12537545*20,7892
14,45439771*20,7906
14,79108388*20,792
15,13561248*20,7933
15,48816619*20,7945
15,84893192*20,7957
16,21810097*20,7968
16,59586907*20,7979
16,98243652*20,799
17,37800829*20,7999
17,7827941*20,8009
18,19700859*20,8018
18,62087137*20,8027
19,05460718*20,8035
19,498446*20,8043
19,95262315*20,805
20,41737945*20,8057
20,89296131*20,8064
21,3796209*20,8071
21,87761624*20,8077
22,38721139*20,8083
22,90867653*20,8089
23,44228815*20,8094
23,98832919*20,8099
24,54708916*20,8104
25,11886432*20,8109
25,70395783*20,8114
26,30267992*20,8118
26,91534804*20,8122
27,54228703*20,8126
28,18382931*20,813
28,84031503*20,8134
29,51209227*20,8137
30,1995172*20,814
30,90295433*20,8143
31,6227766*20,8146
32,35936569*20,8149
33,11311215*20,8152
33,88441561*20,8155
34,67368505*20,8157
35,48133892*20,816
36,30780548*20,8162
37,15352291*20,8164
38,01893963*20,8166
38,9045145*20,8168
39,81071706*20,817
40,73802778*20,8172
41,68693835*20,8173
42,65795188*20,8175
43,65158322*20,8177
44,66835922*20,8178
45,70881896*20,818
46,77351413*20,8181
47,86300923*20,8182
48,97788194*20,8184
50,11872336*20,8185
51,2861384*20,8186
52,48074602*20,8187
53,70317964*20,8188
54,95408739*20,8189
56,23413252*20,819
57,54399373*20,8191
58,88436554*20,8192
60,25595861*20,8193
61,65950019*20,8193
63,09573445*20,8194
64,5654229*20,8195
66,0693448*20,8196
67,60829754*20,8196
69,18309709*20,8197
70,79457844*20,8197
72,44359601*20,8198
74,13102413*20,8199
75,8577575*20,8199
77,62471166*20,82
79,43282347*20,82
81,28305162*20,82
83,17637711*20,8201
85,11380382*20,8201
87,096359*20,8202
89,12509381*20,8202
91,20108394*20,8202
93,32543008*20,8203
95,4992586*20,8203
97,7237221*20,8203
100*20,8204
102,3292992*20,8204
104,7128548*20,8204
107,1519305*20,8205
109,6478196*20,8205
112,2018454*20,8205
114,8153621*20,8205
117,4897555*20,8206
120,2264435*20,8206
123,0268771*20,8206
125,8925412*20,8206
128,8249552*20,8206
131,8256739*20,8206
134,8962883*20,8207
138,0384265*20,8207
141,2537545*20,8207
144,5439771*20,8207
147,9108388*20,8207
151,3561248*20,8207
154,8816619*20,8207
158,4893192*20,8208
162,1810097*20,8208
165,9586907*20,8208
169,8243652*20,8208
173,7800829*20,8208
177,827941*20,8208
181,9700859*20,8208
186,2087137*20,8208
190,5460718*20,8208
194,98446*20,8208
199,5262315*20,8209
204,1737945*20,8209
208,9296131*20,8209
213,796209*20,8209
218,7761624*20,8209
223,8721139*20,8209
229,0867653*20,8209
234,4228815*20,8209
239,8832919*20,8209
245,4708916*20,8209
251,1886432*20,8209
257,0395783*20,8209
263,0267992*20,8209
269,1534804*20,8209
275,4228703*20,8209
281,8382931*20,8209
288,4031503*20,8209
295,1209227*20,8209
301,995172*20,8209
309,0295433*20,8209
316,227766*20,821
323,5936569*20,821
331,1311215*20,821
338,8441561*20,821
346,7368505*20,821
354,8133892*20,821
363,0780548*20,821
371,5352291*20,821
380,1893963*20,821
389,045145*20,821
398,1071706*20,821
407,3802778*20,821
416,8693835*20,821
426,5795188*20,821
436,5158322*20,821
446,6835922*20,821
457,0881896*20,821
467,7351413*20,821
478,6300923*20,821
489,7788194*20,821
501,1872336*20,821
512,861384*20,821
524,8074602*20,821
537,0317964*20,821
549,5408739*20,821
562,3413252*20,821
575,4399373*20,821
588,8436554*20,821
602,5595861*20,821
616,5950019*20,821
630,9573445*20,821
645,654229*20,821
660,693448*20,821
676,0829754*20,821
691,8309709*20,821
707,9457844*20,821
724,4359601*20,821
741,3102413*20,821
758,577575*20,821
776,2471166*20,821
794,3282347*20,821
812,8305162*20,821
831,7637711*20,821
851,1380382*20,821
870,96359*20,821
891,2509381*20,821
912,0108394*20,821
933,2543008*20,821
954,992586*20,821
977,237221*20,821
1000*20,821
1023,292992*20,821
1047,128548*20,821
1071,519305*20,821
1096,478196*20,821
1122,018454*20,821
1148,153621*20,821
1174,897555*20,821
1202,264435*20,821
1230,268771*20,821
1258,925412*20,821
1288,249552*20,821
1318,256739*20,821
1348,962883*20,821
1380,384265*20,821
1412,537545*20,821
1445,439771*20,821
1479,108388*20,821
1513,561248*20,821
1548,816619*20,821
1584,893192*20,821
1621,810097*20,821
1659,586907*20,821
1698,243652*20,821
1737,800829*20,821
1778,27941*20,821
1819,700859*20,821
1862,087137*20,821
1905,460718*20,821
1949,8446*20,821
1995,262315*20,821
2041,737945*20,821
2089,296131*20,821
2137,96209*20,821
2187,761624*20,821
2238,721139*20,821
2290,867653*20,821
2344,228815*20,821
2398,832919*20,821
2454,708916*20,821
2511,886432*20,821
2570,395783*20,821
2630,267992*20,821
2691,534804*20,821
2754,228703*20,821
2818,382931*20,821
2884,031503*20,821
2951,209227*20,821
3019,95172*20,821
3090,295433*20,821
3162,27766*20,821
3235,936569*20,821
3311,311215*20,821
3388,441561*20,821
3467,368505*20,821
3548,133892*20,821
3630,780548*20,821
3715,352291*20,821
3801,893963*20,821
3890,45145*20,821
3981,071706*20,821
4073,802778*20,821
4168,693835*20,821
4265,795188*20,821
4365,158322*20,821
4466,835922*20,821
4570,881896*20,821
4677,351413*20,821
4786,300923*20,821
4897,788194*20,821
5011,872336*20,821
5128,61384*20,821
5248,074602*20,821
5370,317964*20,821
5495,408739*20,821
5623,413252*20,821
5754,399373*20,821
5888,436554*20,821
6025,595861*20,821
6165,950019*20,821
6309,573445*20,821
6456,54229*20,821
6606,93448*20,821
6760,829754*20,821
6918,309709*20,821
7079,457844*20,821
7244,359601*20,821
7413,102413*20,821
7585,77575*20,821
7762,471166*20,821
7943,282347*20,821
8128,305162*20,821
8317,637711*20,821
8511,380382*20,821
8709,6359*20,821
8912,509381*20,821
9120,108394*20,821
9332,543008*20,821
9549,92586*20,821
9772,37221*20,821
10000*20,821
10232,92992*20,821
10471,28548*20,821
10715,19305*20,821
10964,78196*20,821
11220,18454*20,821
11481,53621*20,821
11748,97555*20,821
12022,64435*20,821
12302,68771*20,821
12589,25412*20,821
12882,49552*20,821
13182,56739*20,821
13489,62883*20,821
13803,84265*20,821
14125,37545*20,821
14454,39771*20,821
14791,08388*20,8209
15135,61248*20,8209
15488,16619*20,8209
15848,93192*20,8209
16218,10097*20,8209
16595,86907*20,8209
16982,43652*20,8209
17378,00829*20,8209
17782,7941*20,8209
18197,00859*20,8209
18620,87137*20,8209
19054,60718*20,8209
19498,446*20,8209
19952,62315*20,8209
20417,37945*20,8209
20892,96131*20,8209
21379,6209*20,8209
21877,61624*20,8209
22387,21139*20,8209
22908,67653*20,8209
23442,28815*20,8208
23988,32919*20,8208
24547,08916*20,8208
25118,86432*20,8208
25703,95783*20,8208
26302,67992*20,8208
26915,34804*20,8208
27542,28703*20,8208
28183,82931*20,8208
28840,31503*20,8208
29512,09227*20,8207
30199,5172*20,8207
30902,95433*20,8207
31622,7766*20,8207
32359,36569*20,8207
33113,11215*20,8207
33884,41561*20,8207
34673,68505*20,8206
35481,33892*20,8206
36307,80548*20,8206
37153,52291*20,8206
38018,93963*20,8206
38904,5145*20,8205
39810,71706*20,8205
40738,02778*20,8205
41686,93835*20,8205
42657,95188*20,8205
43651,58322*20,8204
44668,35922*20,8204
45708,81896*20,8204
46773,51413*20,8203
47863,00923*20,8203
48977,88194*20,8203
50118,72336*20,8202
51286,1384*20,8202
52480,74602*20,8202
53703,17964*20,8201
54954,08739*20,8201
56234,13252*20,82
57543,99373*20,82
58884,36554*20,8199
60255,95861*20,8199
61659,50019*20,8198
63095,73445*20,8198
64565,4229*20,8197
66069,3448*20,8197
67608,29754*20,8196
69183,09709*20,8195
70794,57844*20,8195
72443,59601*20,8194
74131,02413*20,8193
75857,7575*20,8192
77624,71166*20,8192
79432,82347*20,8191
81283,05162*20,819
83176,37711*20,8189
85113,80382*20,8188
87096,359*20,8187
89125,09381*20,8186
91201,08394*20,8184
93325,43008*20,8183
95499,2586*20,8182
97723,7221*20,8181
100000*20,8179
102329,2992*20,8178
104712,8548*20,8176
107151,9305*20,8175
109647,8196*20,8173
112201,8454*20,8171
114815,3621*20,8169
117489,7555*20,8167
120226,4435*20,8165
123026,8771*20,8163
125892,5412*20,8161
128824,9552*20,8159
131825,6739*20,8156
134896,2883*20,8154
138038,4265*20,8151
141253,7545*20,8148
144543,9771*20,8146
147910,8388*20,8142
151356,1248*20,8139
154881,6619*20,8136
158489,3192*20,8132
162181,0097*20,8129
165958,6907*20,8125
169824,3652*20,8121
173780,0829*20,8117
177827,941*20,8112
181970,0859*20,8108
186208,7137*20,8103
190546,0718*20,8098
194984,46*20,8093
199526,2315*20,8087
204173,7945*20,8081
208929,6131*20,8075
213796,209*20,8069
218776,1624*20,8062
223872,1139*20,8055
229086,7653*20,8048
234422,8815*20,804
239883,2919*20,8032
245470,8916*20,8024
251188,6432*20,8015
257039,5783*20,8006
263026,7992*20,7997
269153,4804*20,7986
275422,8703*20,7976
281838,2931*20,7965
288403,1503*20,7953
295120,9227*20,7941
301995,172*20,7929
309029,5433*20,7916
316227,766*20,7902
323593,6569*20,7887
331131,1215*20,7872
338844,1561*20,7856
346736,8505*20,784
354813,3892*20,7822
363078,0548*20,7804
371535,2291*20,7785
380189,3963*20,7765
389045,145*20,7744
398107,1706*20,7722
407380,2778*20,7699
416869,3835*20,7675
426579,5188*20,765
436515,8322*20,7624
446683,5922*20,7597
457088,1896*20,7568
467735,1413*20,7538
478630,0923*20,7507
489778,8194*20,7474
501187,2336*20,7439
512861,384*20,7403
524807,4602*20,7366
537031,7964*20,7326
549540,8739*20,7285
562341,3252*20,7242
575439,9373*20,7197
588843,6554*20,715
602559,5861*20,71
616595,0019*20,7049
630957,3445*20,6995
645654,229*20,6938
660693,448*20,6879
676082,9754*20,6818
691830,9709*20,6753
707945,7844*20,6686
724435,9601*20,6615
741310,2413*20,6541
758577,575*20,6464
776247,1166*20,6384
794328,2347*20,6299
