Регион	Численность населения (тыс. чел.)	Удельный вес городского населения %	Изменение численности населения	Число родившихся на 1000 населения.	Число умерших на 1000 .	Среднегодовая численность населения занятых в экономике  (тыс. чел.)	Среднедушевые денежные доходы (руб./мес.)
Республика Карелия	766	74,1	-0,8	7,9	15,1	331,5	1673,4
Республика Коми	1135	74,2	-1,3	8,5	10,7	495,3	1654,4
Архангельская область	1460	74,4	-1,3	8,1	15,1	587,8	2058
Ненецкий АО	46	59,2	-0,6	11,2	9,4	20,7	1268,8
Вологодская область	1324	68,4	-0,7	7,9	15,8	598,4	1692,1
Мурманская область	983	91,9	-1,7	7,6	10,1	422,5	1264,5
г. Санкт-Петербург	4694	100	-0,7	6,2	15,4	2353,9	1500,4
Ленинградская область 	1674	66	-0,4	6,5	17,8	695,9	1804
Новгородская область	729	70,7	-0,9	7,2	19,1	312,3	1013,9
Псковская область	801	66,5	-1,3	7	21,4	341,5	1336,7
Брянская область	1443	68,8	-0,9	7,7	17,3	588,1	2808,8
Владимирская область	1609	80,6	-0,9	7,1	17,9	724,4	879,7
Ивановская область	1222	82,5	-1,1	6,6	20,3	490,7	935,1
Калужская область	1081	74,5	-0,8	7	17,3	492,7	710,7
Костромская область	786	65,9	-0,8	7,7	17,8	336,4	934,3
г. Москва	8631	100	0	7,8	14,8	5399,7	974,4
Московская область	6511	79,8	-0,5	6,8	16,7	2386,6	6859,1
Орловская область	899	63,1	-0,6	7,3	16,5	415,6	1458,1
Рязанская область	1284	69	-1	7	18,6	537,1	1068,5
Смоленская область	1133	70,6	-1,3	6,5	18,9	471,6	919,2
Тверская область	1602	73,7	-1,1	7	20,2	665,4	1204,1
Тульская область	1746	81,5	-1,3	6,5	20,2	785,7	819,6
Ярославская область	1414	80,5	-0,9	6,8	18,3	651,4	1087,3
Республика Марий Эл	759	62	-0,3	8,7	14	342,8	937,4
Республика Мордовия	929	59,9	-0,9	7,5	15,2	400,1	696,1
Чувашская Республика	1357	61,2	-0,2	8,9	13,3	601,9	825,6
Кировская область	1589	70,9	-0,8	7,6	15,7	749	763,9
Нижегородская область	3658	78,4	-0,7	7,4	16,9	1678,8	928,7
Белгородская область	1497	65,9	0,4	7,6	15,1	676,6	1068,1
Воронежская область	2459	62,2	-0,6	7,1	17,3	1105,1	1083,7
Курская область	1316	61,6	-0,9	7,7	17,6	606,1	1022,4
Липецкая область	1240	64,7	-0,4	7,3	15,9	571,7	1023,6
Тамбовская область	1269	58,4	-1	7,2	18,2	532,4	1187,1
Республика Калмыкия	316	40,8	-0,1	11,4	10,6	118,6	1214,1
Республика Татарстан	3779	74	-0,04	9,3	12,4	1669,5	579
Астраханская область	1024	66,3	-0,2	9,4	13,6	421,8	1243,7
Волгоградская область	2678	74,1	-0,6	7,9	15,4	1147	1077,5
Пензенская область	1531	64,6	-0,7	7,2	16,2	674,5	936,8
Самарская область	3297	80,4	-0,3	7,5	15,1	1472,1	767,3
Саратовская область	2712	73,1	-0,3	7,9	15,2	1196,2	1962,1
Ульяновская область	1468	73,1	-0,6	7,6	14	618	1066,4
Республика Адыгея	449	53,9	-0,2	8,6	13,8	156,8	976,5
Республика Дагестан	2149	40,5	1,3	17,9	7,5	757,6	771,1
Республика Ингушетия	488	41,5	53,7	16,4	4,8	50,6	597
Чеченская Республика	574	23,5	-26,9	0	0	0	367,3
Кабардино-Балкарская Республика	792	57,2	-0,1	11,6	10,5	287,3	865,7
Карачаево-Черкесская Республика	435	44,1	-0,3	10,4	10,8	137,9	649,9
Республика Северная Осетия - Алания	674	67,6	1,4	10,8	12,6	220,1	1162,4
Краснодарский край2)	5067	53,6	-0,04	8,5	14,7	2032,8	0
Ставропольский край2)	2691	55,7	0,1	8,9	13,4	1008,2	1113
Ростовская область	4358	67,6	-0,6	7,6	15	1811,8	1033,6
Республика Башкорто­­стан	4117	65,1	-0,01	10	12,8	1742,6	1262,5
Удмуртская Республика	1633	69,4	-0,2	9,7	12,7	744,7	1246,9
Курганская область	1097	55,5	-0,5	9	14,8	458,9	1009,3
Оренбургская область	2224	57,1	-0,3	9,1	13,6	998,7	852
Пермская область	2966	75,3	-0,4	9,1	14,8	1315,9	1073,9
Коми-Пермяцкий АО	152	25,8	-0,7	11,2	16,4	60,4	1574,9
Свердловская область	4612	87,5	-0,6	8	15,3	2000	507,9
Челябинская область	3672	81,3	-0,3	8,4	14,4	1566,1	1328,5
Республика Алтай	205	25,5	0,4	13,4	12,4	80,7	1628,6
Алтайский край2)	2653	52,5	-0,4	8,7	13,8	1108,1	846,9
Кемеровская область	2987	86,7	-0,7	8,3	15,7	1235,9	869,8
Новосибирская область	2744	74	-0,3	7,9	13,5	1121,5	1500,5
Омская область	2163	67,3	-0,7	8,2	12,9	968,1	1161
Томская область	1067	66,9	-0,4	9,1	12,4	455,6	1047,3
Тюменская область	3221	76,2	-0,2	10,3	8,5	1750	1480,1
Ханты-Мансийский АО	1368	91,2	-0,1	10,8	6,2	792,6	3266
Ямало-Ненецкий АО	495	82,7	-0,6	12,2	5,3	301,3	4398
Республика Бурятия	1035	59,6	-0,6	11	12,6	395,8	1421,7
Республика Тыва	311	48,3	0,1	15,7	13,3	102,5	1060,5
Республика Хакасия	581	71,1	-0,3	9,1	14,3	234,4	785
Красноярский край2)	3039	74,4	-0,8	8,9	14,1	1401,1	1197,3
Таймырский (Долгано-Ненецкий) АО	43	64,9	-1,4	10,3	8,7	22	1694,9
Эвенкийский АО	18	28,6	-2,6	13,4	10,8	9,8	1725,8
Иркутская область	2748	79,7	-0,6	9,7	14,3	1137,5	1419,8
Усть-Ордынский Бурятский АО	144	0	0,1	14	13,4	60,9	1681,8
Читинская область	1259	62,4	-0,8	10,9	13,6	439,5	472,9
Агинский Бурятский АО	79	32,4	0,3	14,7	9,8	24,3	751,5
Республика Саха (Якутия)	977	63,9	-1,2	13	9,6	477,8	1717,5
Еврейская автономная область	199	67,5	-1,8	9,3	13,6	73,4	2840,6
Чукотский автономный округ	72	67,9	-5,9	9	7,1	33,8	963,7
Приморский край	2174	78,3	-1	8	12,8	945,8	2450,8
Хабаровский край	1518	80,6	-1,1	7,9	13,1	665	1314
Амурская область	1006	65,3	-0,9	9,2	12,5	427,2	1621,3
Камчатская область	383	80,8	-1,8	9,1	10,3	177	1191
Корякский АО	29	25,9	-3	10,7	13,3	16,5	2439,1
Магаданская область	233	92	-2,9	8,2	9,3	113,1	2416,6
Сахалинская область	598	86,7	-1,6	8,2	12,2	261,9	2423,2
Калинингpадская область	949	77	-0,3	7,4	14,2	401,1	1902
