"CustomerID","Churn","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","DirectorAssistedCalls","OverageMinutes","RoamingCalls","PercChangeMinutes","PercChangeRevenues","DroppedCalls","BlockedCalls","UnansweredCalls","CustomerCareCalls","ThreewayCalls","ReceivedCalls","OutboundCalls","InboundCalls","PeakCallsInOut","OffPeakCallsInOut","DroppedBlockedCalls","CallForwardingCalls","CallWaitingCalls","MonthsInService","UniqueSubs","ActiveSubs","ServiceArea","Handsets","HandsetModels","CurrentEquipmentDays","AgeHH1","AgeHH2","ChildrenInHH","HandsetRefurbished","HandsetWebCapable","TruckOwner","RVOwner","Homeownership","BuysViaMailOrder","RespondsToMailOffers","OptOutMailings","NonUSTravel","OwnsComputer","HasCreditCard","RetentionCalls","RetentionOffersAccepted","NewCellphoneUser","NotNewCellphoneUser","ReferralsMadeBySubscriber","IncomeGroup","OwnsMotorcycle","AdjustmentsToCreditRating","HandsetPrice","MadeCallToRetentionTeam","CreditRating","PrizmCode","Occupation","MaritalStatus"
3000002,"Yes",24,219,22,0.25,0,0,-157,-19,0.7,0.7,6.3,0,0,97.2,0,0,58,24,1.3,0,0.3,61,2,1,"SEAPOR503",2,2,361,62,0,"No","No","Yes","No","No","Known","Yes","Yes","No","No","Yes","Yes",1,0,"No","No",0,"4","No",0,"30","Yes","1-Highest","Suburban","Professional","No"
3000010,"Yes",16.99,10,17,0,0,0,-4,0,0.3,0,2.7,0,0,0,0,0,5,1,0.3,0,0,58,1,1,"PITHOM412",2,1,1504,40,42,"Yes","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"Yes","No",0,"5","No",0,"30","No","4-Medium","Suburban","Professional","Yes"
3000014,"No",38,8,38,0,0,0,-2,0,0,0,0,0,0,0.4,0.3,0,1.3,3.7,0,0,0,60,1,1,"MILMIL414",1,1,1812,26,26,"Yes","No","No","No","No","Unknown","No","No","No","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"Unknown","No","3-Good","Town","Crafts","Yes"
3000022,"No",82.28,1312,75,1.24,0,0,157,8.1,52,7.7,76,4.3,1.3,200.3,370.3,147,555.7,303.7,59.7,0,22.7,59,2,2,"PITHOM412",9,4,458,30,0,"No","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"10","No","4-Medium","Other","Other","No"
3000026,"Yes",17.14,0,17,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,2,"OKCTUL918",4,3,852,46,54,"No","No","No","No","No","Known","Yes","Yes","No","No","Yes","Yes",0,0,"No","Yes",0,"9","No",1,"10","No","1-Highest","Other","Professional","Yes"
3000030,"No",38.05,682,52,0.25,0,0,148,-3.1,9,1.7,13,0.7,0,42.2,6.7,0,33.3,53,10.7,0,0.7,53,1,1,"OKCTUL918",3,2,231,28,0,"No","No","Yes","No","No","Known","No","No","No","Yes","No","Yes",0,0,"Yes","No",0,"1","No",1,"30","No","3-Good","Other","Other","Yes"
3000038,"No",31.66,26,30,0.25,0,0,60,4,0,1,2.3,0,0,0,0,0,1.7,1.7,1,0,0,57,2,2,"OKCTUL918",2,2,601,52,58,"No","No","Yes","No","No","Known","Yes","Yes","No","Yes","No","Yes",0,0,"No","Yes",0,"9","No",1,"30","No","1-Highest","Other","Self","Yes"
3000042,"No",62.13,98,66,2.48,0,0,24,6.8,0,0.3,4,4,0,0,3.7,0,7.7,7.3,0.3,0,0,59,2,2,"OKCOKC405",3,3,464,46,46,"Yes","No","Yes","No","No","Known","Yes","Yes","No","No","No","Yes",0,0,"Yes","No",0,"6","No",0,"30","No","1-Highest","Other","Professional","No"
3000046,"No",35.3,24,35,0,0,0,20,-0.3,0,0,1,0,0,2.4,4,1.7,9.3,1.7,0,0,0,53,3,3,"SANMCA210",4,3,544,36,34,"Yes","No","Yes","No","No","Known","No","No","No","No","No","Yes",0,0,"Yes","No",0,"9","No",0,"80","No","1-Highest","Other","Other","Yes"
3000050,"No",81,1056,75,0,0,0,43,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,1,"PITHOM412",9,5,388,46,68,"No","No","Yes","No","No","Known","No","No","No","No","Yes","Yes",0,0,"Yes","No",0,"5","No",1,"30","No","3-Good","Other","Professional","No"
