ID,CPU_Frequency_GHz,CPU_Cores,CPU_Brand,CPU_Generation,RAM_GB,Storage_GB,Storage_Type,GPU_Type,GPU_Model,GPU_Memory_GB,WIFI,WIFI_Standard,Bluetooth,Bluetooth_Version,Computer_Type,Operating_System,USB_3_Ports,USB_C_Ports,USB_2_Ports,Ethernet_Speed,Brand,Model,Purchase_Date,Age_Days,Condition,Price_USD,Power_Consumption_W,Weight_kg,Screen_Size_inch,Case_Type
PC-0001,2.64,4.0,Intel Core i9,11.0,16.0,1000.0,SSD,Dedicated,AMD Radeon RX 6600,24,True,802.11ax,True,5.0,Desktop,Windows 11,6.0,1.0,1.0,1Gbps,Apple,Inspiron 1409,2023-07-29,930.0,Good,1159.0,238.0,,,Full Tower
PC-0002,5.0,8.0,AMD Ryzen 3,8.0,16.0,2000.0,NVMe,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.0,Server,Windows 10,1.0,1.0,0.0,2.5Gbps,Apple,ZBook 5012,2023-09-14,883.0,Good,1616.0,218.0,,,
PC-0003,4.1,12.0,AMD Ryzen 9,12.0,256.0,512.0,NVMe,Dedicated,NVIDIA RTX 3060,4,False,,True,5.0,Laptop,Windows 10,0.0,1.0,1.0,1Gbps,Lenovo,EliteBook 3286,2025-06-06,252.0,Like New,2568.0,393.0,3.1,13.3,
PC-0004,3.55,10.0,Intel Core i7,11.0,16.0,1000.0,HDD,Integrated,Intel UHD,Shared,True,802.11n,True,5.1,Laptop,macOS Ventura,7.0,3.0,3.0,None,Samsung,Inspiron 9935,2025-10-01,135.0,Like New,1619.0,118.0,,27.0,
PC-0005,1.74,12.0,AMD Ryzen 9,8.0,16.0,1000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,False,,Desktop,macOS Ventura,0.0,1.0,1.0,10Gbps,Dell,Inspiron 7912,2024-09-08,523.0,New,1570.0,128.0,,,Small Form Factor
PC-0006,1.74,8.0,Intel Core i3,14.0,128.0,2000.0,HDD,Dedicated,NVIDIA RTX 4080,8,True,802.11ac,True,5.2,All-in-One,Linux Server,6.0,3.0,3.0,100Mbps,HP,XPS 1488,2023-12-02,804.0,Good,2285.0,324.0,,16.0,
PC-0007,1.34,8.0,AMD Ryzen 7,10.0,32.0,4000.0,SSD,Dedicated,NVIDIA RTX 3060,8,True,802.11ac,True,5.1,Workstation,macOS Ventura,1.0,1.0,5.0,1Gbps,Dell,Inspiron 4582,2024-04-24,660.0,Good,2093.0,296.0,,,Full Tower
PC-0008,4.65,12.0,AMD Ryzen 9,7.0,128.0,128.0,SSD,Dedicated,NVIDIA RTX 3060,16,True,802.11ax,False,,Laptop,Windows 10,4.0,3.0,2.0,1Gbps,Lenovo,EliteBook 9279,2025-03-31,,Fair,2445.0,325.0,1.0,14.0,
PC-0009,3.56,4.0,Intel Core i5,11.0,8.0,1000.0,SSD,Integrated,Intel UHD,Shared,True,802.11ac,True,4.2,Laptop,Windows 10,3.0,3.0,2.0,1Gbps,HP,XPS 4257,2025-11-25,80.0,Fair,1156.0,84.0,3.0,13.3,
PC-0010,4.0,6.0,Intel Core i9,9.0,32.0,128.0,HDD,Integrated,AMD Radeon Graphics,2GB,True,802.11ac,True,5.0,Desktop,Linux Server,3.0,0.0,3.0,1Gbps,Custom Built,Vostro 7873,2022-10-17,1215.0,Like New,1220.0,97.0,,,Mini Tower
PC-0011,1.18,4.0,Intel Core i5,12.0,4.0,1000.0,HDD,Dedicated,AMD Radeon RX 7900,8,True,802.11a/b/g,True,5.2,Laptop,Windows 11,3.0,1.0,4.0,100Mbps,MSI,EliteBook 8359,2022-01-28,1477.0,Like New,793.0,232.0,1.9,15.6,
PC-0012,5.08,32.0,AMD Ryzen 7,12.0,8.0,512.0,SSD,Integrated,Intel UHD,Shared,False,,True,5.0,Desktop,Windows 11,7.0,0.0,2.0,2.5Gbps,Dell,ZBook 1106,2022-05-17,1368.0,New,2655.0,219.0,,,Full Tower
PC-0013,4.51,24.0,AMD Ryzen 3,14.0,256.0,512.0,SSD,Dedicated,NVIDIA RTX 3060,24,True,802.11ax,True,5.1,Desktop,Windows Server,0.0,2.0,4.0,1Gbps,MSI,ThinkPad 7924,2023-03-27,1054.0,Like New,3690.0,453.0,,,Mid Tower
PC-0014,1.97,2.0,AMD Ryzen 5,10.0,8.0,512.0,HDD,Dedicated,NVIDIA RTX 4080,4,True,802.11ac,True,5.2,Workstation,Ubuntu 22.04,7.0,1.0,3.0,1Gbps,Acer,MacBook 5552,2024-12-26,414.0,Poor,886.0,219.0,,,Mid Tower
PC-0015,1.85,10.0,Intel Core i5,10.0,32.0,1000.0,SSD,Dedicated,NVIDIA GTX 1650,6,True,802.11ac,True,5.1,Mini PC,Windows 10,6.0,1.0,5.0,1Gbps,HP,ThinkPad 4527,2025-02-10,368.0,New,1353.0,276.0,,,
PC-0016,1.85,16.0,Intel Core i5,11.0,32.0,512.0,HDD,Integrated,Intel Iris Xe,2GB,False,,True,5.0,Laptop,Fedora,3.0,1.0,3.0,None,Dell,MacBook 2674,2023-05-13,1007.0,Poor,1647.0,151.0,2.8,14.0,
PC-0017,2.35,4.0,Intel Core i3,8.0,16.0,2000.0,NVMe,Dedicated,AMD Radeon RX 7900,24,True,802.11n,True,5.3,Desktop,Linux Server,6.0,1.0,5.0,1Gbps,Dell,Inspiron 7224,2023-05-27,993.0,Good,1373.0,248.0,,,Mid Tower
PC-0018,3.25,8.0,Intel Core i7,10.0,256.0,512.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,False,,Laptop,Windows 10,0.0,0.0,2.0,2.5Gbps,HP,Inspiron 6881,2024-06-27,596.0,Good,2586.0,223.0,1.9,14.0,
PC-0019,2.87,16.0,AMD Ryzen 5,10.0,4.0,128.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,True,4.2,All-in-One,Fedora,6.0,0.0,4.0,1Gbps,Samsung,MacBook 5333,2023-05-02,1018.0,New,1441.0,133.0,,15.6,
PC-0020,2.29,2.0,AMD Ryzen 9,7.0,64.0,2000.0,HDD,Integrated,AMD Radeon Graphics,Shared,True,802.11ac,True,5.3,Workstation,Windows 11,4.0,3.0,3.0,1Gbps,Apple,XPS 8527,2024-03-14,701.0,Good,1576.0,112.0,,,Mid Tower
PC-0021,3.61,8.0,AMD Ryzen 5,10.0,1024.0,512.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,4.2,All-in-One,Ubuntu 20.04,7.0,0.0,2.0,1Gbps,Custom Built,Vostro 3045,2023-04-05,1045.0,Good,6015.0,607.0,,24.0,
PC-0022,1.67,4.0,Intel Core i9,12.0,32.0,512.0,HDD,Dedicated,NVIDIA GTX 1650,4,False,,False,,Laptop,Windows Server,1.0,3.0,5.0,10Gbps,Samsung,ROG 2291,2024-08-13,549.0,Like New,1089.0,241.0,2.5,15.6,
PC-0023,,16.0,AMD EPYC,12.0,512.0,1000.0,SSD,Integrated,Intel Iris Xe,2GB,False,,True,4.0,Server,Linux Server,6.0,2.0,3.0,100Mbps,HP,Vostro 5803,2025-06-12,246.0,Like New,4868.0,496.0,,,
PC-0024,2.6,32.0,AMD Ryzen 7,7.0,8.0,512.0,NVMe,Integrated,Intel UHD,2GB,True,802.11ac,True,5.3,Desktop,Windows 11,6.0,0.0,5.0,1Gbps,Samsung,MacBook 4150,2025-05-06,283.0,New,2360.0,219.0,,,Full Tower
PC-0025,2.97,24.0,Intel Xeon,7.0,32.0,128.0,SSD,None,,,True,802.11ax,False,,Laptop,Windows 10,1.0,3.0,1.0,1Gbps,Dell,Inspiron 1750,2024-06-09,614.0,Good,2028.0,187.0,2.6,,
PC-0026,4.32,6.0,AMD Ryzen 3,9.0,16.0,512.0,NVMe,Integrated,AMD Radeon Graphics,Shared,True,802.11ac,True,4.2,Laptop,Windows 10,0.0,1.0,5.0,2.5Gbps,Dell,EliteBook 5741,2023-07-28,931.0,Like New,1403.0,93.0,2.0,17.3,
PC-0027,1.92,12.0,Intel Core i7,12.0,64.0,4000.0,SSD,Dedicated,AMD Radeon RX 6600,8,True,802.11ax,False,,Laptop,Ubuntu 20.04,0.0,2.0,1.0,2.5Gbps,ASUS,Inspiron 4814,2023-11-30,806.0,Good,2314.0,332.0,2.3,13.3,
PC-0028,3.21,12.0,Intel Core i3,7.0,1024.0,1000.0,HDD,Integrated,Intel Iris Xe,2GB,False,,True,5.2,Mini PC,Windows 10,7.0,3.0,2.0,2.5Gbps,Lenovo,Inspiron 7227,2025-06-26,232.0,Good,5957.0,632.0,,,
PC-0029,3.53,4.0,AMD Ryzen 7,11.0,16.0,1000.0,NVMe,Integrated,AMD Radeon Graphics,Shared,True,802.11ax,True,5.2,All-in-One,Windows 11,6.0,2.0,3.0,10Gbps,Lenovo,ZBook 8428,2025-04-03,316.0,Like New,1374.0,88.0,,14.0,
PC-0030,1.29,12.0,Intel Core i5,7.0,64.0,1000.0,SSD,Dedicated,NVIDIA RTX 3060,6,True,802.11ac,False,,Desktop,Windows 10,4.0,1.0,2.0,1Gbps,Acer,MacBook 3664,2023-10-29,838.0,Good,1615.0,302.0,,,Mini Tower
PC-0031,3.59,2.0,Intel Core i7,11.0,16.0,256.0,SSD,Integrated,Intel UHD,Shared,True,802.11n,True,5.3,Desktop,Windows 11,3.0,1.0,0.0,None,Custom Built,MacBook 6820,2022-05-25,1360.0,Like New,889.0,71.0,,,Mini Tower
PC-0032,1.8,8.0,AMD Ryzen 3,9.0,32.0,512.0,HDD,Dedicated,AMD Radeon RX 7900,8,True,802.11ac,True,5.3,Laptop,Windows 10,4.0,3.0,5.0,1Gbps,Lenovo,EliteBook 5374,2024-12-29,411.0,Good,1256.0,261.0,2.8,15.6,
PC-0033,1.37,4.0,AMD Ryzen 5,12.0,32.0,2000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.0,Desktop,Debian,1.0,3.0,2.0,1Gbps,Lenovo,Inspiron 3803,2025-06-13,245.0,New,1190.0,106.0,,,Full Tower
PC-0034,4.99,4.0,AMD Ryzen 5,8.0,1024.0,256.0,SSHD,Integrated,Intel UHD,Shared,True,802.11n,False,,Laptop,Windows 10,1.0,1.0,2.0,1Gbps,ASUS,Vostro 5010,2025-01-22,387.0,New,5954.0,585.0,2.2,16.0,
PC-0035,5.06,2.0,Intel Core i5,11.0,64.0,512.0,HDD,Integrated,Intel UHD,2GB,True,802.11ac,True,5.2,Mini PC,Windows 11,5.0,3.0,1.0,2.5Gbps,Acer,ThinkPad 8573,2024-03-26,689.0,Like New,1450.0,97.0,,,
PC-0036,4.41,8.0,Intel Core i9,8.0,16.0,512.0,SSHD,Integrated,Intel UHD,Shared,False,,True,4.2,Gaming PC,Fedora,3.0,1.0,5.0,1Gbps,HP,ROG 5422,2025-02-20,358.0,Fair,1362.0,103.0,,,Full Tower
PC-0037,2.35,4.0,AMD Ryzen 5,11.0,8.0,512.0,SSHD,Integrated,Intel Iris Xe,Shared,True,802.11ax,True,5.0,Workstation,macOS Ventura,6.0,0.0,1.0,1Gbps,Custom Built,Vostro 4598,2023-04-28,1022.0,New,978.0,79.0,,,Mid Tower
PC-0038,1.5,10.0,AMD EPYC,12.0,16.0,8000.0,NVMe,Dedicated,NVIDIA RTX 4080,12,True,802.11ac,True,5.2,Server,Windows 10,1.0,3.0,3.0,2.5Gbps,Acer,MacBook 1916,2024-06-09,614.0,New,3195.0,438.0,,,
PC-0039,3.91,2.0,AMD Ryzen 7,7.0,16.0,128.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.0,Laptop,Windows 10,5.0,2.0,2.0,1Gbps,Acer,EliteBook 1525,2023-12-08,798.0,Like New,1079.0,69.0,1.0,15.6,
PC-0040,2.9,4.0,Intel Xeon,12.0,16.0,1000.0,SSD,Integrated,Intel UHD,2GB,True,802.11n,True,5.1,Desktop,macOS Monterey,0.0,1.0,5.0,1Gbps,Custom Built,MacBook 7572,2026-01-22,22.0,New,997.0,88.0,,,Mini Tower
PC-0041,1.6,8.0,AMD Ryzen 7,11.0,256.0,256.0,NVMe,Integrated,Intel Iris Xe,Shared,True,802.11n,True,5.1,Laptop,Windows 11,1.0,0.0,2.0,1Gbps,Custom Built,ZBook 2084,2026-01-25,19.0,Fair,2037.0,221.0,1.0,14.0,
PC-0042,3.13,10.0,AMD Ryzen 5,7.0,32.0,8000.0,HDD,Dedicated,NVIDIA GTX 1650,4,True,802.11ax,True,5.1,Laptop,macOS Ventura,2.0,3.0,3.0,1Gbps,Dell,EliteBook 6155,2022-07-13,1311.0,Good,3149.0,346.0,2.7,24.0,
PC-0043,1.24,4.0,Intel Core i5,10.0,32.0,256.0,SSD,Dedicated,NVIDIA GTX 1650,12,True,802.11n,True,5.3,Workstation,Windows 11,3.0,1.0,4.0,10Gbps,Dell,EliteBook 9179,2025-05-13,276.0,Poor,947.0,239.0,,,Mid Tower
PC-0044,4.83,8.0,AMD Ryzen 5,8.0,8.0,512.0,SSD,Dedicated,NVIDIA GTX 1650,8,True,802.11ac,True,4.0,Desktop,Windows 11,5.0,0.0,3.0,1Gbps,MSI,ROG 8517,2024-04-25,659.0,New,1583.0,249.0,,,Full Tower
PC-0045,,16.0,AMD Ryzen 5,11.0,256.0,2000.0,SSD,Dedicated,AMD Radeon RX 6600,8,False,,False,,Laptop,Windows 11,3.0,3.0,1.0,2.5Gbps,Microsoft,ThinkPad 5339,2023-08-30,898.0,Like New,3262.0,428.0,3.1,14.0,
PC-0046,3.82,8.0,AMD Ryzen 5,11.0,64.0,2000.0,SSD,Integrated,Intel Iris Xe,2GB,True,802.11ax,False,,Laptop,macOS Ventura,3.0,1.0,1.0,1Gbps,Acer,ThinkPad 5040,2024-08-10,552.0,Good,1764.0,142.0,3.0,17.3,
PC-0047,2.38,4.0,AMD Ryzen 3,7.0,8.0,512.0,SSD,Integrated,Intel UHD,2GB,True,802.11ac,True,5.1,Gaming PC,Windows Server,2.0,1.0,2.0,100Mbps,Lenovo,Vostro 9830,2024-04-05,679.0,Good,953.0,79.0,,,Full Tower
PC-0048,3.23,2.0,AMD Ryzen 3,10.0,64.0,512.0,SSD,Dedicated,AMD Radeon RX 6600,8,True,802.11ax,True,5.3,Laptop,Windows 10,4.0,1.0,1.0,100Mbps,Acer,ZBook 8019,2024-06-20,603.0,Like New,1349.0,247.0,1.8,21.5,
PC-0049,3.34,12.0,Intel Core i7,12.0,32.0,512.0,NVMe,Dedicated,NVIDIA GTX 1650,12,True,802.11ax,True,5.0,Server,Ubuntu 20.04,0.0,,5.0,1Gbps,HP,ROG 6930,2023-02-13,1096.0,Good,1802.0,381.0,,,
PC-0050,1.86,2.0,AMD Ryzen 3,13.0,8.0,512.0,HDD,Integrated,AMD Radeon Graphics,Shared,True,802.11ac,True,4.0,Server,Windows 10,3.0,0.0,3.0,100Mbps,Microsoft,EliteBook 3266,2025-02-13,365.0,Fair,741.0,169.0,,,
PC-0051,5.08,12.0,Intel Core i5,10.0,32.0,256.0,NVMe,Integrated,Intel UHD,Shared,False,,True,5.1,Desktop,Windows 11,1.0,1.0,2.0,1Gbps,Apple,Vostro 9085,2023-12-11,795.0,New,1735.0,129.0,,,Mini Tower
PC-0052,4.28,8.0,AMD Ryzen 7,14.0,32.0,512.0,SSD,None,,,True,802.11a/b/g,True,5.0,Laptop,Fedora,7.0,0.0,3.0,1Gbps,Microsoft,Inspiron 1771,2022-05-26,1359.0,Good,1351.0,111.0,2.2,14.0,
PC-0053,4.95,24.0,Intel Core i5,10.0,16.0,512.0,NVMe,Dedicated,NVIDIA RTX 3060,12,False,,True,4.2,All-in-One,Windows 11,0.0,0.0,3.0,1Gbps,Apple,Inspiron 3504,2024-05-02,652.0,Like New,2300.0,333.0,,17.3,
PC-0054,4.77,10.0,Intel Core i3,,512.0,512.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ax,False,,Laptop,Windows Server,1.0,2.0,2.0,1Gbps,Custom Built,ThinkPad 7916,2024-07-03,590.0,Poor,3670.0,361.0,1.6,16.0,
PC-0055,3.55,64.0,Intel Core i9,12.0,128.0,1000.0,NVMe,Dedicated,AMD Radeon RX 6600,16,True,802.11ac,True,5.2,Mini PC,Ubuntu 22.04,0.0,0.0,4.0,100Mbps,Lenovo,Inspiron 7304,2025-07-29,199.0,Good,5593.0,594.0,,,
PC-0056,4.88,6.0,AMD Ryzen 5,10.0,64.0,8000.0,HDD,Integrated,Intel Iris Xe,Shared,True,802.11n,True,5.1,Desktop,Windows Server,6.0,0.0,1.0,1Gbps,MSI,ROG 8668,2026-01-27,17.0,New,3321.0,192.0,,,Small Form Factor
PC-0057,1.46,10.0,Intel Core i9,10.0,32.0,1000.0,NVMe,Integrated,AMD Radeon Graphics,4GB,False,,True,5.3,Desktop,macOS Ventura,0.0,0.0,0.0,1Gbps,Microsoft,Vostro 5119,2025-07-10,218.0,Like New,1527.0,126.0,,,Mini Tower
PC-0058,1.9,6.0,Intel Core i7,10.0,32.0,128.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,False,,All-in-One,Windows 10,5.0,0.0,0.0,10Gbps,Acer,Vostro 1188,2024-02-03,741.0,Poor,1194.0,97.0,,24.0,
PC-0059,1.29,6.0,AMD Ryzen 5,12.0,64.0,128.0,NVMe,Integrated,Intel UHD,2GB,False,,True,5.2,Server,Windows 10,,0.0,0.0,10Gbps,Acer,Inspiron 9797,2024-05-04,650.0,Good,1040.0,213.0,,,
